SrcAddr,DstAddr,Proto,Sport,Dport,State,sTos,dTos,SrcWin,DstWin,sHops,dHops,StartTime,LastTime,sTtl,dTtl,TcpRtt,SynAck,AckDat,SrcPkts,DstPkts,SrcBytes,DstBytes,SAppBytes,DAppBytes,Dur,TotPkts,TotBytes,TotAppByte,Rate,SrcRate,DstRate,Tag
147.32.86.20,188.138.84.239,tcp,3542,80,FIN,0,0,65535,5840,1,14,8/14/2011 7:22,8/14/2011 7:22,127,50,0.026123,0.026109,0.000014,15,23,1029,28342,139,27074,0.21585,38,29371,27213,171.415344,64.859856,115.989716,flow=Background-TCP-Established
67.195.111.228,147.32.84.2,tcp,52241,80,FIN,0,0,6912,6912,17,1,8/14/2011 7:22,8/14/2011 7:22,47,63,0.17388,0.000016,0.173864,5,5,795,678,457,340,0.350676,10,1473,797,25.664717,11.407028,11.407061,flow=Background-TCP-Established
178.77.71.27,147.32.86.95,tcp,4227,3389,RST,0,0,65535,64240,10,1,8/14/2011 7:22,8/14/2011 7:22,118,127,0.026038,0.00555,0.020488,70,96,5655,112030,1537,106808,3.66721,166,117685,108345,44.993332,18.815393,26.095926,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,4429,3389,RST,0,0,65535,64240,10,0,8/14/2011 7:22,8/14/2011 7:22,118,128,0.020925,0.000472,0.020453,93,138,7043,150485,1545,142995,3.978661,231,157528,144540,57.808392,23.123358,34.62112,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3543,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:22,8/14/2011 7:22,127,51,0.026653,0.026635,0.000018,16,24,1089,29963,139,28641,0.217728,40,31052,28780,179.122574,68.893295,120.369057,flow=Background-TCP-Established
38.101.148.126,147.32.85.109,tcp,50903,80,FIN,0,0,16256,6912,17,1,8/14/2011 7:22,8/14/2011 7:22,47,63,0.188505,0.000015,0.18849,6,5,609,1153,205,815,1.631332,11,1762,1020,6.12996,3.065114,2.452007,flow=Background-TCP-Established
147.32.86.20,193.93.174.21,tcp,3544,80,FIN,0,0,65535,65379,1,9,8/14/2011 7:22,8/14/2011 7:22,127,119,0.016969,0.016955,0.000014,25,66,1646,86578,156,82982,0.972761,91,88224,83138,92.520157,24.672043,68.009415,flow=Background-TCP-Established
178.77.71.27,147.32.86.95,tcp,2539,3389,RST,0,0,65535,64240,10,1,8/14/2011 7:22,8/14/2011 7:22,118,127,0.0425,0.021925,0.020575,88,130,6739,155731,1541,148655,6.681586,218,162470,150196,32.477322,13.020861,19.429501,flow=Background-TCP-Established
147.32.86.20,188.138.84.239,tcp,3545,80,FIN,0,0,65535,5840,1,13,8/14/2011 7:22,8/14/2011 7:22,127,51,0.026207,0.026193,0.000014,15,23,1029,28342,139,27074,0.215868,38,29371,27213,171.401047,64.854446,115.997658,flow=Background-TCP-Established
178.77.71.27,147.32.87.29,tcp,2807,3389,RST,0,0,65535,64240,10,0,8/14/2011 7:22,8/14/2011 7:22,118,128,0.021676,0.001124,0.020552,83,119,6435,136293,1537,129823,1.845954,202,142728,131360,108.886787,44.421478,64.678017,flow=Background-TCP-Established
